JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3toj0hsg33c73dekci0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:13:22.702245Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toithsg33c73dekcf0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:13:10.539758Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toiqkv6o9s73ct4rb0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:12:58.197708Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toinc60rgc73abfmt0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:12:45.819271Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toikmjbaoc73coh6e0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:12:34.122593Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toih9sg33c73dekc40,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:12:21.52476Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toiek60rgc73abfmkg,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:12:10.328575Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toibkv6o9s73ct4qt0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:11:58.965311Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toi8kv6o9s73ct4qq0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:11:46.941293Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toi5mjbaoc73coh60g,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:11:34.656407Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toi2k60rgc73abfm90,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:11:22.691313Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohvhsg33c73dekbkg,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:11:11.117609Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohsujbaoc73coh5ng,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:10:59.07984Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohps60rgc73abfm0g,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:10:47.172706Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohmkv6o9s73ct4q90,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:10:34.581244Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohjhsg33c73dekb8g,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:10:22.341873Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohgkv6o9s73ct4q30,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:10:10.729935Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohdmjbaoc73coh59g,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:09:58.387895Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3tohakv6o9s73ct4pt0,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:09:46.488431Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toh7mjbaoc73coh540,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:09:34.264189Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toh4ejbaoc73coh510,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:09:21.970509Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toh1cv6o9s73ct4pkg,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:09:09.362102Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3toguc60rgc73abfl6g,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:08:57.259228Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
d3togr1sg33c73dekaig,7d852166-1138-4fdb-a0d1-cf441d78cee0,Completed,,2025-10-24T14:08:44.854197Z,7,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW4_exact, shots:4096"
