JobId,SessionId,Status,Reason,Created,Usage (seconds),Type,Compute resource,Instance,Tags
d3tont6jbaoc73cohbi0,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:48.925195Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tonrejbaoc73cohbgg,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:41.807839Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tonphsg33c73dekhi0,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:34.33092Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tonnk60rgc73abfs2g,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:26.936955Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tonlsv6o9s73ct506g,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:19.461147Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tonjs60rgc73abfrt0,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:12.037357Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3toniejbaoc73cohb60,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:23:05.056324Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tong9sg33c73dekh70,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:22:57.475344Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tone9sg33c73dekh50,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:22:49.995014Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
d3tonchsg33c73dekh2g,9f78e606-d1ed-465a-83ee-4f3ea32d9af4,Completed,,2025-10-24T14:22:42.25496Z,2,estimator,ibm_kingston,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:55736fd5-c0a0-4f44-8180-ce6e81d6c9d0::,"NQCC-Q3, CQAVQE_DW2_exact, shots:4096"
